"gender","age","counts_pictures","counts_profileVisits","counts_kisses","flirtInterests_chat","flirtInterests_friends","flirtInterests_date","connectedToFacebook","isVIP","isVerified","lang_count","lang_fr","lang_en","lang_de","lang_it","lang_es","lang_pt","countDetails","freshman","hasBirthday","highlighted"
FALSE,25,25,27375,885,"false","false","true","false","false","true",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,20,12,15236,764,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.649999976158142,"false","false","false"
FALSE,19,5,1167,29,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.5799999833107,"false","false","false"
FALSE,19,11,22226,2338,"true","true","true","false","false","true",1,"false","false","true","false","false","false",0.879999995231628,"false","false","false"
FALSE,20,5,19653,759,"false","false","true","false","false","false",1,"false","false","true","false","false","false",0.5799999833107,"false","false","false"
FALSE,19,11,13194,225,"true","true","false","false","false","true",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,22,13,47475,2137,"true","true","false","false","false","true",1,"false","false","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,21,14,24369,1559,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.879999995231628,"false","false","false"
FALSE,22,3,1359,42,"true","false","false","false","false","true",1,"false","false","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,24,9,7014,216,"true","true","false","false","false","true",1,"false","false","true","false","false","false",0.879999995231628,"false","false","false"
FALSE,23,18,20823,864,"true","true","true","false","false","true",2,"false","false","true","true","false","false",0.850000023841858,"false","false","false"
FALSE,19,5,12344,234,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.800000011920929,"false","false","false"
FALSE,19,6,1934,57,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.230000004172325,"false","false","false"
FALSE,19,9,3217,180,"true","true","true","false","false","true",3,"true","true","true","false","false","false",0.879999995231628,"false","false","false"
FALSE,24,4,14267,670,"false","false","true","false","false","false",3,"false","false","true","false","true","true",0.540000021457672,"false","false","false"
FALSE,19,11,6819,164,"true","true","true","false","false","true",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,19,9,5270,64,"false","true","true","false","false","true",1,"false","false","true","false","false","false",0.5799999833107,"false","false","false"
FALSE,25,3,44,3,"false","false","true","false","false","false",1,"false","false","true","false","false","false",0.5,"false","false","false"
FALSE,22,4,690,6,"false","true","false","false","true","false",1,"false","false","true","false","false","false",0.9200000166893,"false","false","false"
FALSE,21,3,1058,62,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.379999995231628,"false","false","false"
FALSE,21,20,44883,3556,"false","false","true","false","false","false",1,"false","false","true","false","false","false",0.5,"false","false","true"
FALSE,21,20,17092,461,"true","false","false","false","false","true",1,"false","false","true","false","false","false",0.769999980926514,"false","false","false"
FALSE,20,6,49039,4269,"true","true","false","false","false","false",1,"false","false","true","false","false","false",0.419999986886978,"false","false","false"
FALSE,22,5,19421,323,"true","true","false","false","false","false",1,"false","false","true","false","false","false",0.649999976158142,"false","false","false"
FALSE,23,16,164425,9288,"true","true","true","false","false","true",2,"false","false","true","false","false","false",1,"false","false","false"
FALSE,23,13,12405,238,"false","true","true","false","false","false",1,"false","false","true","false","false","false",0.879999995231628,"false","false","false"
FALSE,25,3,5481,164,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.730000019073486,"false","false","false"
FALSE,19,16,4940,300,"true","false","false","false","false","true",1,"false","false","true","false","false","false",1,"false","false","false"
FALSE,23,11,4621,88,"true","true","true","false","false","true",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,21,30,4946,115,"true","true","false","false","false","false",3,"false","true","true","false","false","false",1,"false","false","false"
FALSE,21,3,3075,106,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.879999995231628,"false","false","false"
FALSE,24,8,24814,500,"false","false","false","false","false","false",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,19,4,22468,1306,"true","true","true","false","false","true",0,"false","false","false","false","false","false",0.689999997615814,"false","false","false"
FALSE,20,7,9139,333,"true","false","true","false","false","true",1,"false","false","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,22,4,6912,242,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.899999976158142,"false","false","false"
FALSE,20,2,8482,234,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.649999976158142,"false","false","false"
FALSE,20,3,1693,43,"true","false","true","false","false","false",1,"false","false","true","false","false","false",0.540000021457672,"false","false","false"
FALSE,19,5,4098,426,"false","true","true","false","false","true",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,21,8,17539,452,"false","false","true","false","false","true",1,"false","false","true","false","false","false",0.649999976158142,"false","false","false"
FALSE,23,5,297,4,"false","false","true","false","false","false",1,"false","false","true","false","false","false",0.620000004768372,"false","false","false"
FALSE,20,8,18269,735,"true","true","true","false","false","true",1,"false","false","true","false","false","false",1,"false","false","false"
FALSE,19,5,14676,1003,"true","true","false","false","false","true",3,"false","true","true","true","false","false",0.810000002384186,"false","false","false"
FALSE,20,6,34942,1235,"true","true","true","false","false","true",4,"false","true","true","true","false","false",1,"false","false","false"
FALSE,22,3,10921,729,"true","true","true","false","false","false",1,"true","false","false","false","false","false",0.850000023841858,"false","false","false"
FALSE,23,4,34272,1046,"true","false","false","false","false","true",1,"false","false","true","false","false","false",0.46000000834465,"false","false","false"
FALSE,21,5,5362,93,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.850000023841858,"false","false","true"
FALSE,20,10,25724,862,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.5,"false","false","false"
FALSE,21,4,13493,481,"false","false","true","false","false","false",1,"false","false","true","false","false","false",0.649999976158142,"false","false","false"
FALSE,20,19,22291,640,"true","true","false","false","false","true",1,"false","false","true","false","false","false",0.9200000166893,"false","false","false"
FALSE,20,6,18459,1106,"true","false","true","false","false","false",1,"false","false","true","false","false","false",0.349999994039536,"false","false","false"
FALSE,21,22,13070,618,"false","true","false","false","false","false",1,"false","false","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,24,4,18114,1346,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0,"false","false","false"
FALSE,24,8,8009,271,"true","true","true","false","false","true",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,24,8,24428,889,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.419999986886978,"false","false","false"
FALSE,22,6,15870,906,"true","false","false","false","false","true",1,"false","false","true","false","false","false",0.620000004768372,"false","false","false"
FALSE,21,3,5208,217,"false","false","true","false","false","false",3,"true","true","true","false","false","false",0.9200000166893,"false","false","false"
FALSE,22,8,6029,200,"true","true","true","false","false","true",3,"false","true","true","false","false","false",0.730000019073486,"false","false","false"
FALSE,22,1,12359,239,"false","false","false","false","false","false",2,"false","true","true","false","false","false",0.270000010728836,"false","false","false"
FALSE,22,26,13894,317,"true","true","false","false","false","false",1,"false","false","true","false","false","false",0.9200000166893,"false","false","false"
FALSE,22,10,13420,926,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.879999995231628,"false","false","true"
FALSE,23,15,34282,2135,"true","true","true","false","false","false",2,"false","false","true","false","false","false",0.540000021457672,"false","false","false"
FALSE,23,4,8938,275,"true","true","false","false","false","false",3,"true","false","true","false","false","false",0.959999978542328,"false","false","false"
FALSE,20,6,7451,132,"true","true","true","false","true","false",1,"false","false","true","false","false","false",0.730000019073486,"false","false","false"
FALSE,21,5,7256,157,"true","true","true","false","false","true",1,"false","false","true","false","false","false",0.9200000166893,"false","false","false"
FALSE,23,9,4688,168,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,22,14,12985,718,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.540000021457672,"false","false","false"
FALSE,20,5,8295,831,"true","false","true","false","false","false",1,"false","false","true","false","false","false",0.310000002384186,"false","false","false"
FALSE,21,8,29112,837,"false","true","false","false","false","true",1,"false","false","true","false","false","false",0.730000019073486,"false","false","false"
FALSE,19,25,9119,163,"false","false","false","false","true","true",3,"true","false","true","true","false","false",0.230000004172325,"false","false","false"
